iter	Passed	Remaining
0	2	6609
1	3	5937
2	5	5546
3	6	5337
4	8	5235
5	9	5120
6	11	5046
7	12	5007
8	14	4969
9	15	4975
10	17	5021
11	19	5000
12	20	4990
13	22	5017
14	24	5061
15	26	5106
16	28	5126
17	30	5214
18	32	5259
19	33	5275
20	35	5257
21	37	5232
22	38	5210
23	40	5189
24	41	5166
25	43	5148
26	44	5129
27	46	5128
28	48	5134
29	49	5134
30	51	5110
31	52	5089
32	54	5077
33	55	5070
34	57	5057
35	58	5040
36	60	5024
37	61	5016
38	63	5004
39	64	4992
40	66	4979
41	67	4970
42	69	4960
43	70	4961
44	72	4951
45	73	4944
46	75	4936
47	76	4931
48	78	4935
49	80	4928
50	81	4923
51	83	4923
52	85	4929
53	86	4922
54	87	4911
55	89	4916
56	91	4918
57	92	4910
58	94	4899
59	95	4900
60	97	4897
61	99	4898
62	100	4890
63	102	4881
64	103	4879
65	105	4878
66	106	4872
67	108	4864
68	109	4858
69	111	4858
70	113	4863
71	114	4858
72	116	4855
73	117	4849
74	119	4842
75	120	4838
76	121	4829
77	123	4821
78	124	4815
79	126	4813
80	127	4804
81	129	4799
82	130	4794
83	132	4793
84	133	4793
85	135	4787
86	136	4781
87	138	4776
88	139	4775
89	141	4770
90	142	4764
91	144	4759
92	145	4753
93	147	4753
94	148	4747
95	150	4743
96	151	4744
97	153	4744
98	155	4747
99	156	4746
100	158	4742
101	159	4739
102	161	4740
103	163	4741
104	164	4740
105	166	4736
106	167	4732
107	169	4735
108	170	4731
109	172	4727
110	173	4723
111	175	4734
112	177	4733
113	179	4731
114	180	4727
115	182	4729
116	184	4734
117	185	4733
118	187	4733
119	189	4737
120	190	4741
121	192	4740
122	194	4737
123	195	4737
124	197	4745
125	199	4742
126	200	4739
127	202	4736
128	203	4738
129	205	4733
130	206	4729
131	208	4730
132	210	4733
133	212	4735
134	213	4735
135	215	4739
136	217	4746
137	219	4747
138	220	4745
139	222	4747
140	224	4746
141	225	4743
142	227	4740
143	228	4741
144	230	4741
145	232	4741
146	233	4739
147	235	4739
148	237	4735
149	238	4740
150	240	4741
151	242	4739
152	243	4739
153	245	4737
154	247	4735
155	248	4733
156	250	4734
157	252	4735
158	253	4733
159	255	4731
160	256	4729
161	258	4732
162	260	4733
163	262	4732
164	263	4730
165	264	4724
166	266	4720
167	267	4718
168	269	4717
169	271	4714
170	272	4713
171	274	4712
172	275	4708
173	277	4700
174	278	4694
175	280	4695
176	281	4694
177	283	4696
178	285	4694
179	286	4693
180	288	4692
181	289	4687
182	291	4684
183	292	4681
184	294	4679
185	295	4677
186	297	4675
187	299	4673
188	300	4671
189	302	4670
190	303	4668
191	305	4667
192	307	4665
193	308	4667
194	310	4667
195	311	4661
196	313	4656
197	314	4652
198	316	4648
199	317	4645
200	318	4641
201	320	4637
202	321	4631
203	323	4627
204	324	4625
205	326	4621
206	327	4617
207	328	4614
208	330	4615
209	332	4615
210	333	4612
211	335	4610
212	337	4609
213	338	4606
214	340	4605
215	341	4603
